Variable2,Variable
Sec_Ene_Liq_Bio_Oth,Secondary Energy|Liquids|Biomass|Other
Sec_Ene_Liq_Bio_Rsd,Secondary Energy|Liquids|Biomass|Residues
Sec_Ene_Liq_Bio_w_CCS,Secondary Energy|Liquids|Biomass|w/ CCS
Sec_Ene_Liq_Bio_wo_CCS,Secondary Energy|Liquids|Biomass|w/o CCS
Sec_Ene_SolidsBio,Secondary Energy|Solids|Biomass
Sec_Ene_SolidsCoa,Secondary Energy|Solids|Coal
Trd_Prm_Ene_Bio_Vol,Trade|Primary Energy|Biomass|Volume
Emi_Kyo_Gas,Emissions|Kyoto Gases
Sec_Ene,Secondary Energy
Foo_Ene_Sup,Food Energy Supply
Foo_Ene_Sup_Liv,Food Energy Supply|Livestock
Lan_Cov_Frs_Man,Land Cover|Forest|Managed
Prm_Ene_Bio_Mod,Primary Energy|Biomass|Modern
Prm_Ene_Bio_Tra,Primary Energy|Biomass|Traditional
Yie_Cer,Yield|Cereal
Wat_Wit_Irr,Water Withdrawal|Irrigation
Fer_Use_Nit,Fertilizer Use|Nitrogen
Fer_Use_Pho,Fertilizer Use|Phosphorus
Agr_Dem,Agricultural Demand
Agr_Dem_Cro_Foo,Agricultural Demand|Crops|Food
Agr_Dem_Liv_Foo,Agricultural Demand|Livestock|Food
Agr_Pro,Agricultural Production
Frs_Pro_Frs_Rsd,Forestry Production|Forest Residues
Frs_Dem_Rou,Forestry Demand|Roundwood
Frs_Dem_Rou_Woo_Fue,Forestry Demand|Roundwood|Wood Fuel
Frs_Dem_Rou_Ind_Rou,Forestry Demand|Roundwood|Industrial Roundwood
Frs_Pro_Rou,Forestry Production|Roundwood
Frs_Pro_Rou_Woo_Fue,Forestry Production|Roundwood|Wood Fuel
Frs_Pro_Rou_Ind_Rou,Forestry Production|Roundwood|Industrial Roundwood
Cap_Ele,Capacity|Electricity
Cap_Ele_Hyd,Capacity|Electricity|Hydro
Cap_Ele_SolarCSP,Capacity|Electricity|Solar|CSP
Cap_Ele_SolarPV,Capacity|Electricity|Solar|PV
Cap_Ele_Win,Capacity|Electricity|Wind
Cap_Ele_Win_Off,Capacity|Electricity|Wind|Offshore
Cap_Ele_Win_Ons,Capacity|Electricity|Wind|Onshore
Cap_Ele_Solar,Capacity|Electricity|Solar
Cap_Ele_Coa,Capacity|Electricity|Coal
Cap_Ele_Coa_w_CCS,Capacity|Electricity|Coal|w/ CCS
Cap_Ele_Coa_wo_CCS,Capacity|Electricity|Coal|w/o CCS
Cap_Ele_Gas,Capacity|Electricity|Gas
Cap_Ele_Gas_w_CCS,Capacity|Electricity|Gas|w/ CCS
Cap_Ele_Gas_wo_CCS,Capacity|Electricity|Gas|w/o CCS
Cap_Ele_Bio,Capacity|Electricity|Biomass
Cap_Ele_Bio_w_CCS,Capacity|Electricity|Biomass|w/ CCS
Cap_Ele_Bio_wo_CCS,Capacity|Electricity|Biomass|w/o CCS
Cap_Ele_Sto,Capacity|Electricity|Storage
Cap_Ele_Nuc,Capacity|Electricity|Nuclear
Cap_Ele_Oil,Capacity|Electricity|Oil
Cap_Ele_Oil_w_CCS,Capacity|Electricity|Oil|w/ CCS
Cap_Ele_Oil_wo_CCS,Capacity|Electricity|Oil|w/o CCS
Cap_Ele_Geo,Capacity|Electricity|Geothermal
Agr_Dem_Cro_Oth,Agricultural Demand|Crops|Other
Agr_Dem_Liv_Oth,Agricultural Demand|Livestock|Other
Agr_Dem_Cro_Fee,Agricultural Demand|Crops|Feed
Yie_Oil,Yield|Oilcrops
Yie_Sug,Yield|Sugarcrops
Inv_RnD_Ene_Sup,Investment|RnD|Energy Supply
Inv_Ene_Sup_Ele_Fos,Investment|Energy Supply|Electricity|Fossil
Inv_Ene_Sup_Ele_Non,Investment|Energy Supply|Electricity|Non-fossil
Inv_Ene_Sup_Ele_Oth,Investment|Energy Supply|Electricity|Other
Inv_Ene_Sup_Ele_Tra_and_Dis,Investment|Energy Supply|Electricity|Transmission and Distribution
Inv_Ene_Sup_Ele_Ele_Sto,Investment|Energy Supply|Electricity|Electricity Storage
Inv_Ene_Sup_Ext_Fos,Investment|Energy Supply|Extraction|Fossil
Inv_Ene_Sup_Ext_Bio,Investment|Energy Supply|Extraction|Bioenergy
Inv_Ene_Sup_Ext_Ura,Investment|Energy Supply|Extraction|Uranium
Inv_Ene_Sup_Hyd,Investment|Energy Supply|Hydrogen
Inv_Ene_Sup_Hyd_Fos,Investment|Energy Supply|Hydrogen|Fossil
Inv_Ene_Sup_Hyd_Ren,Investment|Energy Supply|Hydrogen|Renewable
Inv_Ene_Sup_Hyd_Oth,Investment|Energy Supply|Hydrogen|Other
Inv_Ene_Sup_Liq,Investment|Energy Supply|Liquids
Inv_Ene_Sup_Heat,Investment|Energy Supply|Heat
Inv_Ene_Sup_CO2_Tra_and_Sto,Investment|Energy Supply|CO2 Transport and Storage
Inv_Ene_Sup_Oth,Investment|Energy Supply|Other
Cum_Cap_Ele_Win,Cumulative Capacity|Electricity|Wind
Cum_Cap_Ele_Solar,Cumulative Capacity|Electricity|Solar
Cum_Cap_Ele_Coa_w_CCS,Cumulative Capacity|Electricity|Coal|w/ CCS
Cum_Cap_Ele_Gas_w_CCS,Cumulative Capacity|Electricity|Gas|w/ CCS
Cum_Cap_Ele_Bio_w_CCS,Cumulative Capacity|Electricity|Biomass|w/ CCS
Cum_Cap_Ele_Bio,Cumulative Capacity|Electricity|Biomass
Cum_Cap_Ele_Nuc,Cumulative Capacity|Electricity|Nuclear
Cum_Cap_Ele_Coa,Cumulative Capacity|Electricity|Coal
Cum_Cap_Ele_Gas,Cumulative Capacity|Electricity|Gas
Cum_Cap_Ele_Oil,Cumulative Capacity|Electricity|Oil
Cum_Cap_Ele_Oil_w_CCS,Cumulative Capacity|Electricity|Oil|w/ CCS
Cum_Cap_Ele_Bio_wo_CCS,Cumulative Capacity|Electricity|Biomass|w/o CCS
Cum_Cap_Ele_Coa_wo_CCS,Cumulative Capacity|Electricity|Coal|w/o CCS
Cum_Cap_Ele_Gas_wo_CCS,Cumulative Capacity|Electricity|Gas|w/o CCS
Cum_Cap_Ele_Oil_wo_CCS,Cumulative Capacity|Electricity|Oil|w/o CCS
Cum_Cap_Ele_SolarCSP,Cumulative Capacity|Electricity|Solar|CSP
Cum_Cap_Ele_SolarPV,Cumulative Capacity|Electricity|Solar|PV
Cum_Cap_Ele_Win_Off,Cumulative Capacity|Electricity|Wind|Offshore
Cum_Cap_Ele_Win_Ons,Cumulative Capacity|Electricity|Wind|Onshore
Cum_Cap_Hyd_Bio,Cumulative Capacity|Hydrogen|Biomass
Cum_Cap_Hyd_Bio_w_CCS,Cumulative Capacity|Hydrogen|Biomass|w/ CCS
Cum_Cap_Hyd_Bio_wo_CCS,Cumulative Capacity|Hydrogen|Biomass|w/o CCS
Cum_Cap_Hyd_Ele,Cumulative Capacity|Hydrogen|Electricity
Cap_Ele_Oce,Capacity|Electricity|Ocean
Cap_Ele_Oth,Capacity|Electricity|Other
Lan_Cov_Cro_Cer,Land Cover|Cropland|Cereals
Frc_Aer_Clo_Ind,Forcing|Aerosol|Cloud Indirect
Frc_Aer_Bla_and_Org_Car,Forcing|Aerosol|Black and Organic Carbon
Frc_Tro_Ozo,Forcing|Tropospheric Ozone
Prm_Ene_Coa_Gas,Primary Energy|Coal|Gases
Prm_Ene_Coa_Liq,Primary Energy|Coal|Liquids
Prm_Ene_Coa_Ele,Primary Energy|Coal|Electricity
Prm_Ene_Gas_Liq,Primary Energy|Gas|Liquids
Prm_Ene_Gas_Ele,Primary Energy|Gas|Electricity
Frc_Mon_Gas,Forcing|Montreal Gases
Sec_Ene_Hyd_Fos,Secondary Energy|Hydrogen|Fossil
Sec_Ene_Hyd_Fos_w_CCS,Secondary Energy|Hydrogen|Fossil|w/ CCS
Sec_Ene_Hyd_Fos_wo_CCS,Secondary Energy|Hydrogen|Fossil|w/o CCS
Sec_Ene_Hyd_Oil,Secondary Energy|Hydrogen|Oil
Sec_Ene_Oth_Car,Secondary Energy|Other Carrier
Fin_Ene_Res_and_Com_SolidsBio_Tra,Final Energy|Residential and Commercial|Solids|Biomass|Traditional
Fin_Ene_Oth_Sec_SolidsCoa,Final Energy|Other Sector|Solids|Coal
Fin_Ene_Oth_Sec_SolidsBio,Final Energy|Other Sector|Solids|Biomass
Fin_Ene_Oth_Sec_SolidsBio_Tra,Final Energy|Other Sector|Solids|Biomass|Traditional
Prc_Sec_Ene_Liq_Oil,Price|Secondary Energy|Liquids|Oil
Prc_Sec_Ene_Gas_Nat_Gas,Price|Secondary Energy|Gases|Natural Gas
Prc_Sec_Ene_SolidsCoa,Price|Secondary Energy|Solids|Coal
Prc_Sec_Ene_SolidsBio,Price|Secondary Energy|Solids|Biomass
Prc_Sec_Ene_Hyd,Price|Secondary Energy|Hydrogen
Trd_Ura_Mas,Trade|Uranium|Mass
Trd_Sec_Ene_Liq_Oil_Vol,Trade|Secondary Energy|Liquids|Oil|Volume
Trd_Sec_Ene_Liq_Coa_Vol,Trade|Secondary Energy|Liquids|Coal|Volume
Trd_Sec_Ene_Liq_Gas_Vol,Trade|Secondary Energy|Liquids|Gas|Volume
Trd_Sec_Ene_Hyd_Vol,Trade|Secondary Energy|Hydrogen|Volume
Trd_Sec_Ene_Liq_Bio_Vol,Trade|Secondary Energy|Liquids|Biomass|Volume
Int_Rat_Rea,Interest Rate|Real
Emi_CF4,Emissions|CF4
Emi_C2F6,Emissions|C2F6
Emissions_HFC,Emissions|HFC
Emissions_HFC_HFC125,Emissions|HFC|HFC125
Emissions_HFC_HFC134a,Emissions|HFC|HFC134a
Emissions_HFC_HFC143a,Emissions|HFC|HFC143a
Emissions_HFC_HFC227ea,Emissions|HFC|HFC227ea
Emissions_HFC_HFC23,Emissions|HFC|HFC23
Emissions_HFC_HFC245fa,Emissions|HFC|HFC245fa
Emissions_HFC_HFC32,Emissions|HFC|HFC32
Emissions_HFC_HFC43_10,Emissions|HFC|HFC43-10
Emi_SF6,Emissions|SF6
Fin_Ene_Res_and_Com_Lig,Final Energy|Residential and Commercial|Lighting
Fin_Ene_Res_and_Com_Heating,Final Energy|Residential and Commercial|Heating
Fin_Ene_Res_and_Com_Coo,Final Energy|Residential and Commercial|Cooling
Fin_Ene_Res_and_Com_App,Final Energy|Residential and Commercial|Appliances
Fin_Ene_Tra_Avi,Final Energy|Transportation|Aviation
Fin_Ene_Tra_Rai,Final Energy|Transportation|Rail
Pop_Ris_of_Hun,Population|Risk of Hunger
Car_Seq_CCS_Fos,Carbon Sequestration|CCS|Fossil
Car_Seq_CCS_Ind_Pro,Carbon Sequestration|CCS|Industrial Processes
Car_Seq_Lan_Use,Carbon Sequestration|Land Use
Car_Seq_CCS_Bio_Ene_Dem_Ind,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry
Car_Seq_CCS_Bio_Ene_Sup,Carbon Sequestration|CCS|Biomass|Energy|Supply
Car_Seq_CCS_Bio_Ene_Sup_Ele,Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity
